date,close,volume
2026-01-01,99.55,100000
2026-01-02,100.15,101500
2026-01-03,100.75,103000
2026-01-04,101.35,104500
2026-01-05,101.95,106000
2026-01-06,102.55,107500
2026-01-07,102.07,109000
2026-01-08,102.67,110500
2026-01-09,103.27,112000
2026-01-10,103.87,113500
2026-01-11,104.47,115000
2026-01-12,105.07,116500
2026-01-13,104.59,118000
2026-01-14,105.19,119500
2026-01-15,105.79,121000
2026-01-16,106.39,122500
2026-01-17,106.99,124000
2026-01-18,107.59,125500
2026-01-19,107.11,127000
2026-01-20,107.71,128500
2026-01-21,108.31,130000
2026-01-22,108.91,131500
2026-01-23,109.51,133000
2026-01-24,110.11,134500
2026-01-25,109.63,136000
2026-01-26,110.23,137500
2026-01-27,110.83,139000
2026-01-28,111.43,140500
2026-01-29,112.03,142000
2026-01-30,112.63,143500
2026-01-31,112.15,145000
2026-02-01,112.75,146500
2026-02-02,113.35,148000
2026-02-03,113.95,149500
2026-02-04,114.55,151000
2026-02-05,115.15,152500
2026-02-06,114.67,154000
2026-02-07,115.27,155500
2026-02-08,115.87,157000
2026-02-09,116.47,158500
2026-02-10,117.07,160000
2026-02-11,117.67,161500
2026-02-12,117.19,163000
2026-02-13,117.79,164500
2026-02-14,118.39,166000
